  longitude   latitude      depth        cc    d_to_pb     ratio  thickness  ntremor     azimuth
-122.593314  47.732699        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  47.777616        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  47.822532        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  47.867448        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  47.912364        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  47.957280        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  48.002196        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  48.047112        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  48.092028        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  48.136944        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.593314  48.181861        NaN       NaN        NaN       NaN        NaN        0         NaN
